feature,importance
imf0_max,18.571621991781065
fix_duration_AOI_aggregated_Pos_count,5.00011913679598
sac_length_AOI_aggregated_Pos_median,4.707948692430896
sac_length_AOI_aggregated_Pos_count,4.53054324986065
sac_length_AOI_aggregated_Pos_max,4.514558113757806
fix_duration_AOI_FD_Pos1_min,4.443080214135885
fix_duration_AOI_aggregated_Pos_max,4.429102004373508
fix_duration_AOI_aggregated_Pos_sum,3.5321768109693146
sac_speed_AOI_aggregated_Pos_min,2.8648232517583962
sac_length_AOI_aggregated_Pos_sum,2.8460281922867012
fix_duration_AOI_FD_None_std,2.702395309069945
fix_duration_AOI_FD_Pos1_max,2.384899058066375
sac_length_AOI_aggregated_Pos_min,2.1482410070649833
sac_speed_AOI_aggregated_Pos_max,1.6353892898615168
fix_duration_AOI_aggregated_None_std,1.5207251296631787
fix_duration_AOI_aggregated_Neg_kurtosis,1.4311969662231152
fix_duration_AOI_aggregated_Pos_first,1.3522270378581858
fuzzy_m_4_r_800,1.3509947440977759
imf0_min,1.2150116219200884
fuzzy_m_4_r_200,1.113664929077719
det_euclidean_length_1_rho_50,1.0365714780650337
sac_angle_to_x_std,1.0292130914958795
sac_length_AOI_aggregated_Target_max,1.0216830120167628
sac_length_skew,1.0150119816995995
fix_duration_AOI_aggregated_Target_max,0.8880574028863408
fix_duration_AOI_FD_Pos1_mean,0.8834239801933487
fix_duration_AOI_FD_Pos1_sum,0.8822589684252182
sac_length_AOI_aggregated_Neg_median,0.7874829931820166
fix_duration_AOI_aggregated_None_max,0.7260630741116102
sac_length_mean,0.6721530891358398
lyapunov_exponent_m_4_tau_2_T_1,0.6412386993252428
fix_duration_max,0.6334404300170315
sample_entropy_m=4_r=800,0.626610800098805
fix_duration_AOI_aggregated_Neg_skew,0.6112507919930354
reg_speed_median,0.5938972475644176
fix_duration_AOI_FD_Target_sum,0.5859204763758408
reg_length_median,0.585712111488019
fix_duration_AOI_aggregated_Target_sum,0.5787688661684212
sac_length_AOI_aggregated_Target_median,0.5770754134440204
fuzzy_m_4_r_400,0.5655492864024013
imf0_skew,0.5630900206817652
phase_entropy_m_2_tau_1,0.5496423790975787
lam_euclidean_length_3_rho_250,0.5462002780704629
fix_duration_AOI_aggregated_Neg_sum,0.5226117265337344
rec_metric_euclidean_length_3_rho_500,0.4933231001773653
imf0_std,0.4833959389939776
reg_length_skew,0.481566523337868
fix_duration_kurtosis,0.4511133950953211
sac_angle_to_x_mean,0.4389491192901235
fix_duration_AOI_aggregated_Target_mean,0.43187530556374815
fuzzy_m_2_r_800,0.41338438251603493
fix_duration_AOI_FD_Target_max,0.4032015436315106
fix_duration_AOI_aggregated_Neg_max,0.40300791179371964
reg_speed_std,0.3923749847755467
reg_speed_min,0.3919482171362938
fix_duration_skew,0.38386930634376515
reg_length_mean,0.3805360438875674
reg_speed_skew,0.3691061372899721
gridded_entropy_grid_size_2,0.3579845291193212
lyapunov_exponent_m_3_tau_2_T_1,0.35043295858477885
sample_entropy_m=3_r=100,0.3367459739521853
corm_euclidean_length_3_rho_250,0.3219685115900862
fix_duration_AOI_aggregated_Target_std,0.3113414804624238
reg_length_sum,0.2824549674696262
rec_metric_euclidean_length_3_rho_5,0.27397873051535265
rec_metric_cityblock_length_1_rho_0.1,0.26787681231117555
sac_speed_skew,0.24447526148817683
sac_angle_between_kurtosis,0.22750762109214437
imf0_energy,0.18017238384813336
fix_duration_AOI_aggregated_None_kurtosis,0.1752431109458452
sample_entropy_m=3_r=200,0.15924944566112173
sac_speed_from_Target_to_Pos_from_Target_to_Pos_min,0.15366887815220237
corm_euclidean_length_2_rho_5,0.15047043920026104
sac_length_from_Target_to_Pos_from_Target_to_Pos_count,0.13408560677685386
sac_length_max,0.12810109285003937
fix_duration_AOI_FD_Neg2_mean,0.126664976510413
fractal_dim_m_3_tau_2,0.12449907609404794
sac_length_AOI_aggregated_None_median,0.11270859006457769
sac_length_from_Neg_to_Target_from_Neg_to_Target_sum,0.09583893426289218
sample_entropy_m=3_r=50,0.0740826285725261
fix_duration_AOI_aggregated_Target_kurtosis,0.05328523645491025
fix_duration_AOI_FD_Neg3_min,0.021836494662580017
lam_euclidean_length_3_rho_25,0.0
corm_euclidean_length_3_rho_25,0.0
sac_length_AOI_aggregated_Pos_mean,0.0
sac_length_AOI_aggregated_Pos_std,0.0
sac_speed_std,0.0
sac_speed_AOI_aggregated_Pos_mean,0.0
sac_speed_AOI_aggregated_Pos_median,0.0
sac_speed_AOI_aggregated_Pos_std,0.0
sac_length_AOI_aggregated_Target_min,0.0
sac_length_AOI_aggregated_Target_mean,0.0
sac_length_AOI_aggregated_Target_std,0.0
sac_length_AOI_aggregated_Target_sum,0.0
sac_length_AOI_aggregated_Target_count,0.0
sac_speed_AOI_aggregated_Target_min,0.0
sac_speed_AOI_aggregated_Target_max,0.0
sac_speed_AOI_aggregated_Target_mean,0.0
sac_speed_AOI_aggregated_Target_median,0.0
sac_speed_AOI_aggregated_Target_std,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_min,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_max,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_mean,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_median,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_std,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_count,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_min,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_max,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_mean,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_median,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_std,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_min,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_max,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_mean,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_median,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_std,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_sum,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_count,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_min,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_max,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_mean,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_median,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_std,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_min,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_max,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_mean,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_median,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_std,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_sum,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_max,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_mean,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_median,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_std,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_min,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_max,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_mean,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_median,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_std,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_sum,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_count,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_min,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_max,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_mean,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_median,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_std,0.0
sac_length_Target_to_Pos_Target_to_Pos_min,0.0
sac_length_Target_to_Pos_Target_to_Pos_max,0.0
sac_length_Target_to_Pos_Target_to_Pos_mean,0.0
