feature,importance
sac_length_AOI_aggregated_Pos_std,0.047748033
sac_length_AOI_aggregated_Neg_min,0.036342494
det_euclidean_length_3_rho_250,0.032546703
fuzzy_m_3_r_800,0.030064926
corr_dim_m_2_tau_1_r_200,0.029135456
sac_speed_AOI_aggregated_Pos_min,0.027438018
sac_speed_AOI_aggregated_None_mean,0.027076473
fix_duration_std,0.026114397
fix_duration_AOI_aggregated_None_count,0.025123728
reg_length_sum,0.02504196
fix_duration_AOI_aggregated_None_max,0.02483321
sac_speed_from_Target_to_Pos_from_Target_to_Pos_min,0.023117494
reg_speed_std,0.022198267
sac_angle_between_mean,0.02131468
fix_duration_AOI_FD_Target_kurtosis,0.021222023
sac_angle_to_x_std,0.021138065
fix_duration_AOI_aggregated_None_sum,0.020782609
sample_entropy_m=2_r=400,0.020636454
fix_duration_AOI_FD_Neg1_std,0.020412587
lam_euclidean_length_1_rho_50,0.020125525
fix_duration_max,0.019633431
det_euclidean_length_1_rho_50,0.019149423
sac_length_AOI_aggregated_None_median,0.019073596
reg_speed_max,0.018643985
lyapunov_exponent_m_3_tau_1_T_2,0.017895807
corm_euclidean_length_2_rho_50,0.017876325
sample_entropy_m=3_r=100,0.01765498
sac_angle_between_kurtosis,0.017577926
sac_length_AOI_aggregated_Neg_mean,0.016560914
corm_euclidean_length_1_rho_500,0.01644256
rec_metric_euclidean_length_1_rho_5,0.016173968
fix_duration_AOI_aggregated_Neg_min,0.016120322
fuzzy_m_4_r_400,0.016089983
sac_speed_mean,0.016013041
fuzzy_m_2_r_200,0.015817948
sample_entropy_m=2_r=50,0.01550665
sac_angle_between_median,0.015505029
gridded_entropy_grid_size_3,0.014718456
sample_entropy_m=3_r=200,0.013887028
corr_dim_m_4_tau_1_r_200,0.013848856
corr_dim_m_4_tau_2_r_50,0.013599092
sac_angle_to_x_mean,0.013264007
sac_speed_AOI_aggregated_Pos_mean,0.013013864
sac_speed_std,0.012894721
sac_length_median,0.012803179
corr_dim_m_2_tau_1_r_400,0.012778974
sac_length_Target_to_Neg_Target_to_Neg_mean,0.012262042
reg_speed_kurtosis,0.010788939
reg_speed_min,0.009736294
sac_length_AOI_aggregated_None_sum,0.009698539
incremental_entropy,0.008750321
fix_duration_AOI_aggregated_Target_std,0.004415505
sac_length_skew,0.0039998842
sac_length_min,0.0035411178
sac_length_max,0.0018501413
corm_euclidean_length_2_rho_250,0.0
rec_metric_euclidean_length_2_rho_500,0.0
det_euclidean_length_2_rho_500,0.0
lam_euclidean_length_2_rho_500,0.0
corm_euclidean_length_2_rho_500,0.0
rec_metric_euclidean_length_3_rho_5,0.0
det_euclidean_length_3_rho_5,0.0
lam_euclidean_length_3_rho_5,0.0
corm_euclidean_length_3_rho_5,0.0
rec_metric_euclidean_length_3_rho_25,0.0
det_euclidean_length_3_rho_25,0.0
lam_euclidean_length_3_rho_25,0.0
corm_euclidean_length_3_rho_25,0.0
sac_length_AOI_aggregated_Pos_max,0.0
sac_length_AOI_aggregated_Pos_mean,0.0
sac_length_AOI_aggregated_Pos_median,0.0
sac_length_AOI_aggregated_Pos_sum,0.0
sac_length_AOI_aggregated_Pos_count,0.0
sac_speed_AOI_aggregated_Pos_max,0.0
sac_speed_AOI_aggregated_Pos_median,0.0
sac_speed_AOI_aggregated_Pos_std,0.0
sac_length_AOI_aggregated_Target_min,0.0
sac_length_AOI_aggregated_Target_max,0.0
sac_length_AOI_aggregated_Target_mean,0.0
sac_length_AOI_aggregated_Target_median,0.0
sac_length_AOI_aggregated_Target_std,0.0
sac_length_AOI_aggregated_Target_sum,0.0
sac_length_AOI_aggregated_Target_count,0.0
sac_speed_AOI_aggregated_Target_min,0.0
sac_speed_AOI_aggregated_Target_max,0.0
sac_speed_AOI_aggregated_Target_mean,0.0
sac_speed_AOI_aggregated_Target_median,0.0
sac_speed_AOI_aggregated_Target_std,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_min,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_max,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_mean,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_median,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_std,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_sum,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_count,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_min,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_max,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_mean,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_median,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_std,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_min,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_max,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_mean,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_median,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_std,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_sum,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_count,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_min,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_max,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_mean,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_median,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_std,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_min,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_max,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_mean,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_median,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_std,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_sum,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_count,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_max,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_mean,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_median,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_std,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_min,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_max,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_mean,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_median,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_std,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_sum,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_count,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_min,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_max,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_mean,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_median,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_std,0.0
sac_length_Target_to_Pos_Target_to_Pos_min,0.0
sac_length_Target_to_Pos_Target_to_Pos_max,0.0
sac_length_Target_to_Pos_Target_to_Pos_mean,0.0
sac_length_Target_to_Pos_Target_to_Pos_median,0.0
sac_length_Target_to_Pos_Target_to_Pos_std,0.0
sac_length_Target_to_Pos_Target_to_Pos_sum,0.0
sac_length_Target_to_Pos_Target_to_Pos_count,0.0
sac_speed_Target_to_Pos_Target_to_Pos_min,0.0
sac_speed_Target_to_Pos_Target_to_Pos_max,0.0
sac_speed_Target_to_Pos_Target_to_Pos_mean,0.0
sac_speed_Target_to_Pos_Target_to_Pos_median,0.0
sac_speed_Target_to_Pos_Target_to_Pos_std,0.0
sac_length_Target_to_Neg_Target_to_Neg_min,0.0
sac_length_Target_to_Neg_Target_to_Neg_max,0.0
sac_length_Target_to_Neg_Target_to_Neg_median,0.0
sac_length_Target_to_Neg_Target_to_Neg_std,0.0
sac_length_Target_to_Neg_Target_to_Neg_sum,0.0
sac_length_Target_to_Neg_Target_to_Neg_count,0.0
sac_speed_Target_to_Neg_Target_to_Neg_min,0.0
sac_speed_Target_to_Neg_Target_to_Neg_max,0.0
sac_speed_Target_to_Neg_Target_to_Neg_mean,0.0
sac_speed_Target_to_Neg_Target_to_Neg_median,0.0
sac_speed_Target_to_Neg_Target_to_Neg_std,0.0
reg_length_min,0.0
reg_length_max,0.0
reg_length_mean,0.0
reg_length_median,0.0
reg_length_std,0.0
reg_length_kurtosis,0.0
reg_length_skew,0.0
reg_speed_mean,0.0
reg_speed_median,0.0
reg_speed_skew,0.0
reg_mask_mean,0.0
fix_duration_first,0.0
fix_duration_min,0.0
fix_duration_mean,0.0
fix_duration_median,0.0
fix_duration_kurtosis,0.0
fix_duration_skew,0.0
fix_duration_sum,0.0
fix_duration_count,0.0
fix_duration_AOI_FD_Neg1_first,0.0
fix_duration_AOI_FD_Neg1_min,0.0
fix_duration_AOI_FD_Neg1_max,0.0
fix_duration_AOI_FD_Neg1_mean,0.0
fix_duration_AOI_FD_Neg1_median,0.0
fix_duration_AOI_FD_Neg1_kurtosis,0.0
fix_duration_AOI_FD_Neg1_skew,0.0
fix_duration_AOI_FD_Neg1_sum,0.0
fix_duration_AOI_FD_Neg1_count,0.0
fix_duration_AOI_FD_None_first,0.0
fix_duration_AOI_FD_None_min,0.0
fix_duration_AOI_FD_None_max,0.0
fix_duration_AOI_FD_None_mean,0.0
fix_duration_AOI_FD_None_median,0.0
fix_duration_AOI_FD_None_std,0.0
fix_duration_AOI_FD_None_kurtosis,0.0
fix_duration_AOI_FD_None_skew,0.0
fix_duration_AOI_FD_None_sum,0.0
fix_duration_AOI_FD_None_count,0.0
fix_duration_AOI_FD_Neg2_first,0.0
fix_duration_AOI_FD_Neg2_min,0.0
fix_duration_AOI_FD_Neg2_max,0.0
fix_duration_AOI_FD_Neg2_mean,0.0
fix_duration_AOI_FD_Neg2_median,0.0
fix_duration_AOI_FD_Neg2_std,0.0
fix_duration_AOI_FD_Neg2_kurtosis,0.0
fix_duration_AOI_FD_Neg2_skew,0.0
fix_duration_AOI_FD_Neg2_sum,0.0
fix_duration_AOI_FD_Neg2_count,0.0
fix_duration_AOI_FD_Pos1_first,0.0
fix_duration_AOI_FD_Pos1_min,0.0
fix_duration_AOI_FD_Pos1_max,0.0
fix_duration_AOI_FD_Pos1_mean,0.0
fix_duration_AOI_FD_Pos1_median,0.0
fix_duration_AOI_FD_Pos1_std,0.0
fix_duration_AOI_FD_Pos1_kurtosis,0.0
fix_duration_AOI_FD_Pos1_skew,0.0
fix_duration_AOI_FD_Pos1_sum,0.0
fix_duration_AOI_FD_Pos1_count,0.0
fix_duration_AOI_FD_Target_first,0.0
fix_duration_AOI_FD_Target_min,0.0
fix_duration_AOI_FD_Target_max,0.0
fix_duration_AOI_FD_Target_mean,0.0
fix_duration_AOI_FD_Target_median,0.0
fix_duration_AOI_FD_Target_std,0.0
fix_duration_AOI_FD_Target_skew,0.0
fix_duration_AOI_FD_Target_sum,0.0
fix_duration_AOI_FD_Target_count,0.0
fix_duration_AOI_FD_Neg3_first,0.0
fix_duration_AOI_FD_Neg3_min,0.0
fix_duration_AOI_FD_Neg3_max,0.0
fix_duration_AOI_FD_Neg3_mean,0.0
fix_duration_AOI_FD_Neg3_median,0.0
fix_duration_AOI_FD_Neg3_std,0.0
fix_duration_AOI_FD_Neg3_kurtosis,0.0
fix_duration_AOI_FD_Neg3_skew,0.0
fix_duration_AOI_FD_Neg3_sum,0.0
fix_duration_AOI_FD_Neg3_count,0.0
fix_duration_AOI_FD_Pos2_first,0.0
fix_duration_AOI_FD_Pos2_min,0.0
fix_duration_AOI_FD_Pos2_max,0.0
fix_duration_AOI_FD_Pos2_mean,0.0
fix_duration_AOI_FD_Pos2_median,0.0
fix_duration_AOI_FD_Pos2_std,0.0
fix_duration_AOI_FD_Pos2_kurtosis,0.0
fix_duration_AOI_FD_Pos2_skew,0.0
fix_duration_AOI_FD_Pos2_sum,0.0
fix_duration_AOI_FD_Pos2_count,0.0
fix_duration_AOI_FD_Pos3_first,0.0
fix_duration_AOI_FD_Pos3_min,0.0
fix_duration_AOI_FD_Pos3_max,0.0
fix_duration_AOI_FD_Pos3_mean,0.0
fix_duration_AOI_FD_Pos3_median,0.0
fix_duration_AOI_FD_Pos3_std,0.0
fix_duration_AOI_FD_Pos3_kurtosis,0.0
fix_duration_AOI_FD_Pos3_skew,0.0
fix_duration_AOI_FD_Pos3_sum,0.0
fix_duration_AOI_FD_Pos3_count,0.0
fix_duration_AOI_aggregated_Neg_first,0.0
sac_speed_kurtosis,0.0
fix_duration_AOI_aggregated_Neg_max,0.0
fix_duration_AOI_aggregated_Neg_mean,0.0
fix_duration_AOI_aggregated_Neg_median,0.0
fix_duration_AOI_aggregated_Neg_std,0.0
fix_duration_AOI_aggregated_Neg_kurtosis,0.0
fix_duration_AOI_aggregated_Neg_skew,0.0
fix_duration_AOI_aggregated_Neg_sum,0.0
fix_duration_AOI_aggregated_Neg_count,0.0
fix_duration_AOI_aggregated_None_first,0.0
fix_duration_AOI_aggregated_None_min,0.0
sac_speed_skew,0.0
fix_duration_AOI_aggregated_None_mean,0.0
fix_duration_AOI_aggregated_None_median,0.0
fix_duration_AOI_aggregated_None_std,0.0
fix_duration_AOI_aggregated_None_kurtosis,0.0
fix_duration_AOI_aggregated_None_skew,0.0
sac_angle_to_x_min,0.0
sac_angle_to_x_max,0.0
fix_duration_AOI_aggregated_Pos_first,0.0
fix_duration_AOI_aggregated_Pos_min,0.0
fix_duration_AOI_aggregated_Pos_max,0.0
fix_duration_AOI_aggregated_Pos_mean,0.0
fix_duration_AOI_aggregated_Pos_median,0.0
fix_duration_AOI_aggregated_Pos_std,0.0
fix_duration_AOI_aggregated_Pos_kurtosis,0.0
fix_duration_AOI_aggregated_Pos_skew,0.0
fix_duration_AOI_aggregated_Pos_sum,0.0
fix_duration_AOI_aggregated_Pos_count,0.0
fix_duration_AOI_aggregated_Target_first,0.0
