feature,importance
sac_length_AOI_aggregated_Neg_min,0.059947886
fix_duration_AOI_aggregated_Neg_median,0.03413547
sac_length_AOI_aggregated_Neg_count,0.028492492
sac_length_AOI_aggregated_Pos_min,0.026611641
sac_speed_AOI_aggregated_Pos_mean,0.02197904
fix_duration_AOI_aggregated_Pos_max,0.02156172
fix_duration_AOI_aggregated_Neg_max,0.015839422
sac_speed_AOI_aggregated_Neg_min,0.014431654
sac_length_AOI_aggregated_None_count,0.0087596895
det_euclidean_length_1_rho_25,0.008224053
sac_length_AOI_aggregated_Pos_max,0.007986736
sac_speed_AOI_aggregated_Pos_min,0.0076436317
rec_metric_euclidean_length_2_rho_500,0.006304262
sac_speed_AOI_aggregated_Pos_median,0.006194774
fix_duration_AOI_aggregated_Neg_sum,0.006096192
sac_length_AOI_aggregated_Pos_sum,0.005688392
fix_duration_AOI_aggregated_Pos_sum,0.005663797
fix_duration_AOI_FD_Neg2_median,0.0054144384
fix_duration_AOI_aggregated_Pos_min,0.0050633308
sac_length_AOI_aggregated_Neg_max,0.0048599183
det_euclidean_length_2_rho_500,0.004646014
sac_length_AOI_aggregated_None_sum,0.0045520044
fix_duration_AOI_aggregated_Pos_first,0.0041802223
fix_duration_AOI_aggregated_Pos_skew,0.004162829
fix_duration_AOI_FD_Pos1_median,0.0041346443
sac_length_from_Pos_to_Target_from_Pos_to_Target_min,0.0041135363
fix_duration_AOI_aggregated_Neg_min,0.0039335815
spectral_entropy,0.003902598
sac_length_from_Pos_to_Target_from_Pos_to_Target_max,0.0038855807
fix_duration_AOI_FD_Neg2_min,0.0038446072
sac_length_from_Neg_to_Target_from_Neg_to_Target_min,0.0038290329
hurst_exponent.9,0.0037867278
lyapunov_exponent_m_3_tau_1_T_4,0.003768968
fuzzy_m_2_r_400,0.0037445615
fix_duration_AOI_aggregated_None_std,0.0036304607
corr_dim_m_4_tau_2_r_50,0.0035982812
sac_speed_AOI_aggregated_Pos_max,0.0034902047
sac_length_sum,0.0034245772
det_euclidean_length_1_rho_500,0.0033433724
fix_duration_AOI_FD_None_std,0.0032228862
fix_duration_AOI_aggregated_Neg_first,0.0032120151
det_euclidean_length_1_rho_5,0.003210112
sac_length_from_Neg_to_Target_from_Neg_to_Target_sum,0.0031589174
sac_speed_from_Neg_to_Target_from_Neg_to_Target_min,0.0031492899
lam_euclidean_length_3_rho_25,0.003116039
corr_dim_m_4_tau_1_r_400,0.0030836107
fix_duration_AOI_aggregated_None_skew,0.0029551645
sac_length_AOI_aggregated_Target_std,0.0029447556
corr_dim_m_2_tau_2_r_50,0.0029204574
sample_entropy_m=3_r=400,0.0029016437
sac_length_from_Pos_to_Target_from_Pos_to_Target_sum,0.0028953662
det_euclidean_length_3_rho_250,0.0028802329
corr_dim_m_4_tau_2_r_400,0.0028712861
sac_length_AOI_aggregated_Neg_mean,0.0028578348
det_euclidean_length_3_rho_500,0.002844285
fix_duration_AOI_FD_Pos2_skew,0.002788046
lyapunov_exponent_m_2_tau_1_T_2,0.0027717978
corr_dim_m_4_tau_2_r_200,0.002771677
lyapunov_exponent_m_4_tau_1_T_4,0.0027566126
imf0_max,0.0027562294
fix_duration_AOI_FD_Neg1_max,0.0027542256
fix_duration_AOI_FD_None_kurtosis,0.002748006
sac_speed_from_Target_to_Neg_from_Target_to_Neg_mean,0.0027311177
fix_duration_AOI_FD_Pos1_skew,0.0027248992
reg_speed_kurtosis,0.002691517
sac_speed_AOI_aggregated_Target_max,0.0026732343
corr_dim_m_3_tau_2_r_50,0.0026688906
phase_entropy_m_4_tau_2,0.0026675577
sac_length_AOI_aggregated_Target_sum,0.0026581658
fix_duration_AOI_FD_Neg2_skew,0.0026551127
sample_entropy_m=4_r=800,0.002650984
lyapunov_exponent_m_3_tau_2_T_1,0.0026493962
imf0_entropy,0.002629659
fractal_dim_m_4_tau_1,0.0026294647
phase_entropy_m_2_tau_1,0.0026148192
sac_speed_AOI_aggregated_Neg_max,0.0026142232
fuzzy_m_4_r_200,0.002595354
