feature,importance
sac_length_AOI_aggregated_Pos_median,11.355359439936976
fix_duration_AOI_aggregated_Pos_count,8.338766427600426
sac_length_AOI_aggregated_Pos_count,8.209870238584699
fix_duration_AOI_aggregated_Pos_first,7.036485660310332
sac_speed_AOI_aggregated_Pos_min,5.908563662100633
sac_length_AOI_aggregated_Pos_max,5.292175140557879
sac_speed_AOI_aggregated_Pos_max,3.9500379626704136
fix_duration_AOI_FD_Pos1_count,2.717187068535388
sac_length_AOI_aggregated_Pos_min,2.6798450332274535
sac_speed_AOI_aggregated_Pos_mean,2.14578573462547
sac_length_AOI_aggregated_Pos_sum,1.9388717050908462
fix_duration_AOI_FD_Neg1_sum,1.6661325879558582
sac_length_AOI_aggregated_Neg_median,1.6503149232048508
fix_duration_AOI_aggregated_Pos_min,1.6065279535669492
fix_duration_min,1.5211513256324518
sac_length_AOI_aggregated_Pos_mean,1.5146163365464849
fix_duration_AOI_aggregated_Neg_median,1.4154650641324331
fix_duration_AOI_aggregated_Neg_max,1.27403516535207
sac_speed_AOI_aggregated_Neg_mean,1.2227405764870618
fix_duration_mean,1.1887546815055439
fix_duration_AOI_aggregated_Pos_max,1.1806773380492896
sac_length_AOI_aggregated_Neg_min,1.12148853216754
sac_speed_from_Pos_to_Target_from_Pos_to_Target_min,1.0847818420449378
sac_speed_min,1.0762465083455246
imf0_max,1.0625254653176794
fix_duration_AOI_aggregated_Neg_sum,0.9996910726529059
fix_duration_AOI_FD_Pos1_mean,0.9744034338737714
fix_duration_AOI_FD_None_min,0.9476096012654585
sac_length_min,0.9329723062820164
rec_metric_euclidean_length_3_rho_5,0.904287133727132
sac_length_from_Pos_to_Target_from_Pos_to_Target_sum,0.7411211646891847
corr_dim_m_2_tau_1_r_200,0.6484922524809797
fix_duration_AOI_FD_Neg1_max,0.6246283730661862
fix_duration_AOI_aggregated_Neg_first,0.6206800678187194
rec_metric_euclidean_length_3_rho_500,0.5929470347817687
rec_metric_euclidean_length_1_rho_5,0.5804648414408978
fix_duration_AOI_aggregated_Neg_min,0.5654940137642285
sac_length_AOI_aggregated_None_min,0.5614926441785402
fix_duration_AOI_FD_None_median,0.5580330927149171
det_euclidean_length_1_rho_5,0.5460892395345862
sac_length_from_Pos_to_Target_from_Pos_to_Target_max,0.49009324522622094
sac_speed_from_Pos_to_Target_from_Pos_to_Target_median,0.47888534255980236
sac_length_from_Pos_to_Target_from_Pos_to_Target_mean,0.4769011638311284
corr_dim_m_3_tau_2_r_50,0.466166280503156
sac_length_AOI_aggregated_None_count,0.4429647313494211
lam_euclidean_length_3_rho_250,0.4256355080705618
phase_entropy_m_3_tau_2,0.42216857820779835
fix_duration_AOI_aggregated_None_kurtosis,0.41432991296873595
sac_speed_from_Pos_to_Target_from_Pos_to_Target_max,0.4049868036863762
sac_length_from_Pos_to_Target_from_Pos_to_Target_count,0.40304725297216754
lam_euclidean_length_1_rho_500,0.4012206104181665
rec_metric_cityblock_length_1_rho_0.1,0.3932560559446269
sac_length_from_Pos_to_Target_from_Pos_to_Target_median,0.3846461756784366
corr_dim_m_4_tau_2_r_50,0.3807374174063669
sac_speed_AOI_aggregated_Pos_median,0.3723946352733606
fix_duration_sum,0.3340080930393743
sac_speed_AOI_aggregated_None_min,0.3332860332921163
fractal_dim_m_2_tau_2,0.306596045551433
sac_speed_AOI_aggregated_Neg_std,0.29266269480340745
hurst_exponent.10,0.283309913279968
corr_dim_m_3_tau_2_r_200,0.24490269208863555
sac_length_max,0.24309522996093097
sac_length_from_Target_to_Pos_from_Target_to_Pos_count,0.23556221169504046
phase_entropy_m_3_tau_1,0.22705940178186626
gridded_entropy_grid_size_3,0.20332031586734148
rec_metric_cityblock_length_3_rho_0.1,0.19344344946740308
sac_length_AOI_aggregated_None_sum,0.1865623271117464
sac_length_from_Target_to_Pos_from_Target_to_Pos_mean,0.18452765113501118
reg_length_mean,0.17896249383751583
sac_length_AOI_aggregated_Neg_max,0.1735325686705101
corr_dim_m_2_tau_2_r_400,0.164029975098367
fix_duration_AOI_aggregated_Neg_mean,0.1623221323133671
reg_speed_std,0.15960059582810177
reg_length_median,0.1323770173951725
lyapunov_exponent_m_3_tau_1_T_4,0.10302180524846263
fix_duration_std,0.09848246850159098
sample_entropy_m=4_r=200,0.09320580471062866
fix_duration_AOI_aggregated_None_std,0.0863954813830204
rec_metric_euclidean_length_1_rho_50,0.06548723802217873
corm_euclidean_length_3_rho_5,0.0
rec_metric_euclidean_length_3_rho_25,0.0
det_euclidean_length_3_rho_25,0.0
lam_euclidean_length_3_rho_25,0.0
corm_euclidean_length_3_rho_25,0.0
sac_length_skew,0.0
sac_length_AOI_aggregated_Pos_std,0.0
sac_speed_std,0.0
sac_speed_AOI_aggregated_Pos_std,0.0
sac_length_AOI_aggregated_Target_min,0.0
sac_length_AOI_aggregated_Target_max,0.0
sac_length_AOI_aggregated_Target_mean,0.0
sac_length_AOI_aggregated_Target_median,0.0
sac_length_AOI_aggregated_Target_std,0.0
sac_length_AOI_aggregated_Target_sum,0.0
sac_length_AOI_aggregated_Target_count,0.0
sac_speed_AOI_aggregated_Target_min,0.0
sac_speed_AOI_aggregated_Target_max,0.0
sac_speed_AOI_aggregated_Target_mean,0.0
sac_speed_AOI_aggregated_Target_median,0.0
sac_speed_AOI_aggregated_Target_std,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_min,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_max,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_mean,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_median,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_std,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_sum,0.0
sac_length_from_Neg_to_Target_from_Neg_to_Target_count,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_min,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_max,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_mean,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_median,0.0
sac_speed_from_Neg_to_Target_from_Neg_to_Target_std,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_min,0.0
sac_length_from_Pos_to_Target_from_Pos_to_Target_std,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_mean,0.0
sac_speed_from_Pos_to_Target_from_Pos_to_Target_std,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_min,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_max,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_median,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_std,0.0
sac_length_from_Target_to_Pos_from_Target_to_Pos_sum,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_min,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_max,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_mean,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_median,0.0
sac_speed_from_Target_to_Pos_from_Target_to_Pos_std,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_min,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_max,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_mean,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_median,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_std,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_sum,0.0
sac_length_from_Target_to_Neg_from_Target_to_Neg_count,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_min,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_max,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_mean,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_median,0.0
sac_speed_from_Target_to_Neg_from_Target_to_Neg_std,0.0
sac_length_Target_to_Pos_Target_to_Pos_min,0.0
sac_length_Target_to_Pos_Target_to_Pos_max,0.0
sac_length_Target_to_Pos_Target_to_Pos_mean,0.0
sac_length_Target_to_Pos_Target_to_Pos_median,0.0
sac_length_Target_to_Pos_Target_to_Pos_std,0.0
sac_length_Target_to_Pos_Target_to_Pos_sum,0.0
sac_length_Target_to_Pos_Target_to_Pos_count,0.0
sac_speed_Target_to_Pos_Target_to_Pos_min,0.0
sac_speed_Target_to_Pos_Target_to_Pos_max,0.0
sac_speed_Target_to_Pos_Target_to_Pos_mean,0.0
sac_speed_Target_to_Pos_Target_to_Pos_median,0.0
sac_speed_Target_to_Pos_Target_to_Pos_std,0.0
sac_length_Target_to_Neg_Target_to_Neg_min,0.0
sac_length_Target_to_Neg_Target_to_Neg_max,0.0
sac_length_Target_to_Neg_Target_to_Neg_mean,0.0
sac_length_Target_to_Neg_Target_to_Neg_median,0.0
sac_length_Target_to_Neg_Target_to_Neg_std,0.0
sac_length_Target_to_Neg_Target_to_Neg_sum,0.0
sac_length_Target_to_Neg_Target_to_Neg_count,0.0
sac_speed_Target_to_Neg_Target_to_Neg_min,0.0
sac_speed_Target_to_Neg_Target_to_Neg_max,0.0
sac_speed_Target_to_Neg_Target_to_Neg_mean,0.0
sac_speed_Target_to_Neg_Target_to_Neg_median,0.0
sac_speed_Target_to_Neg_Target_to_Neg_std,0.0
