feature,importance
sac_length_AOI_aggregated_Pos_min,5.408589577901167
sac_length_AOI_aggregated_Pos_median,4.615325351452086
sac_length_AOI_aggregated_Pos_mean,4.402168164091372
fix_duration_AOI_aggregated_Pos_count,4.173583953904546
fix_duration_AOI_aggregated_Pos_min,3.53963825815481
sac_speed_AOI_aggregated_Pos_max,2.9714337908802815
sac_length_AOI_aggregated_Pos_count,2.800186491662069
sac_length_AOI_aggregated_Pos_sum,2.4713683809751705
sac_speed_AOI_aggregated_Pos_min,2.417363842300556
fix_duration_AOI_aggregated_Pos_first,2.366307566374174
fix_duration_AOI_aggregated_Pos_max,2.197788502955634
fix_duration_AOI_FD_Neg1_mean,2.0338965996141853
sac_speed_AOI_aggregated_Pos_mean,1.8471258505369341
sac_speed_AOI_aggregated_Pos_median,1.72205540096829
sac_length_AOI_aggregated_Pos_max,1.7136717643238397
fix_duration_AOI_FD_Neg1_sum,1.539276557010853
fix_duration_AOI_aggregated_Pos_mean,1.3759897049748144
fix_duration_AOI_FD_Neg1_min,1.2908717389461553
fix_duration_median,1.1346636993235006
fix_duration_AOI_aggregated_Pos_median,1.1314206188983555
fix_duration_AOI_FD_Neg1_max,1.072608989019859
sac_angle_between_skew,1.0670428948506956
fix_duration_AOI_FD_Pos1_median,0.8779549415083032
sac_length_AOI_aggregated_Neg_median,0.8761429516497469
fix_duration_min,0.8508177497923715
rec_metric_euclidean_length_3_rho_500,0.8204955088963823
fix_duration_AOI_FD_Neg1_first,0.8167365593462531
sac_speed_min,0.7885192777806339
rec_metric_euclidean_length_2_rho_500,0.7719369690488819
sac_length_min,0.7617955527672826
fix_duration_AOI_aggregated_Pos_sum,0.7280537468825338
imf0_median,0.6870703869048492
fix_duration_mean,0.6648376417663078
det_euclidean_length_1_rho_50,0.6319190793013614
sac_length_median,0.6318106127454538
sac_length_AOI_aggregated_Neg_mean,0.6299127084356153
rec_metric_euclidean_length_1_rho_500,0.5878283892503164
sac_speed_AOI_aggregated_Neg_mean,0.5782108289308272
sac_length_from_Pos_to_Target_from_Pos_to_Target_mean,0.5769275361324034
sac_speed_AOI_aggregated_Neg_median,0.5741047547603213
sac_angle_to_x_max,0.5706268650474208
sac_length_from_Pos_to_Target_from_Pos_to_Target_min,0.5634982069413021
fix_duration_std,0.5629004275224364
sac_length_from_Pos_to_Target_from_Pos_to_Target_count,0.5436470455638718
sac_speed_median,0.5415539667428518
fix_duration_AOI_FD_Neg1_median,0.5399439825803164
sac_speed_AOI_aggregated_Neg_max,0.5358192699684561
sac_speed_from_Pos_to_Target_from_Pos_to_Target_max,0.5158191321501961
sac_length_from_Pos_to_Target_from_Pos_to_Target_max,0.5114676036095082
fix_duration_skew,0.4943141910593447
rec_metric_euclidean_length_3_rho_5,0.4753391264756929
fix_duration_AOI_aggregated_Neg_min,0.46292005395197866
sac_speed_from_Pos_to_Target_from_Pos_to_Target_mean,0.46244223940247037
sac_length_AOI_aggregated_Neg_sum,0.460818867994345
lam_euclidean_length_3_rho_250,0.4514716358890091
lam_euclidean_length_1_rho_25,0.4397983389826265
sac_speed_from_Pos_to_Target_from_Pos_to_Target_min,0.43412912633120243
fix_duration_AOI_aggregated_Neg_mean,0.4256108897770881
reg_length_min,0.42485926493317744
lam_euclidean_length_2_rho_25,0.4143409872018854
fix_duration_AOI_aggregated_Neg_sum,0.4007235150005
rec_metric_euclidean_length_1_rho_5,0.3907751967060112
sac_angle_between_mean,0.3794081264170567
sac_angle_to_x_skew,0.3712099863101413
corr_dim_m_3_tau_1_r_400,0.3540171890968922
sac_length_from_Pos_to_Target_from_Pos_to_Target_sum,0.35027887401360996
sac_length_from_Pos_to_Target_from_Pos_to_Target_median,0.3464443832569886
lam_euclidean_length_3_rho_500,0.3400735487087209
sac_length_AOI_aggregated_Neg_min,0.33694250017892396
fix_duration_AOI_FD_Pos1_mean,0.3339019590719024
rec_metric_euclidean_length_2_rho_5,0.32620803504940254
gridded_entropy_grid_size_2,0.3222187947727224
sac_length_from_Neg_to_Target_from_Neg_to_Target_min,0.32091215711739696
sac_length_AOI_aggregated_Neg_max,0.31516405690804994
fix_duration_sum,0.30927403381155455
fix_duration_AOI_FD_Neg1_count,0.3072984392200001
corr_dim_m_2_tau_1_r_400,0.3066676384595426
lyapunov_exponent_m_2_tau_1_T_1,0.28845020464524
phase_entropy_m_2_tau_2,0.2853964781702683
corr_dim_m_4_tau_1_r_400,0.28447410596348294
corr_dim_m_4_tau_2_r_50,0.2731799044592283
fix_duration_AOI_FD_None_min,0.2727022793345441
imf0_std,0.27031986876723396
det_euclidean_length_1_rho_5,0.26375442454877474
sac_speed_AOI_aggregated_None_min,0.2537761506095386
