feature,importance
fix_duration_AOI_aggregated_Neg_count,8.400471133083894
sac_speed_AOI_aggregated_Neg_mean,7.856337545614953
fix_duration_AOI_aggregated_Neg_min,7.651327108021211
fix_duration_AOI_aggregated_Neg_median,4.532372859366599
sac_length_AOI_aggregated_Neg_median,3.930067156417734
sac_length_AOI_aggregated_Neg_count,3.773863974678953
sac_speed_AOI_aggregated_Neg_max,3.703849177143017
fix_duration_AOI_FD_Neg1_first,3.3403742131924345
fix_duration_AOI_aggregated_Neg_max,3.1885392448516345
fix_duration_AOI_aggregated_Pos_mean,3.046737534761094
fix_duration_AOI_FD_Neg1_count,3.0114916412805126
fix_duration_AOI_aggregated_Pos_count,2.9958665563878104
fix_duration_AOI_aggregated_Pos_first,2.952174960602722
fix_duration_AOI_aggregated_Neg_sum,2.303008506795436
fix_duration_AOI_aggregated_Neg_first,2.0434481362939523
fix_duration_AOI_FD_Neg1_max,1.977437960903758
sac_speed_AOI_aggregated_Pos_median,1.8211448518017976
sac_length_AOI_aggregated_Neg_max,1.8006214048521645
fix_duration_AOI_aggregated_Pos_min,1.7328977487561432
sac_length_AOI_aggregated_Pos_sum,1.6877438409789456
sac_speed_AOI_aggregated_Neg_min,1.6169082613525245
sac_length_AOI_aggregated_Pos_mean,1.6151384130276223
sac_speed_AOI_aggregated_Pos_mean,1.486481366544464
sac_length_AOI_aggregated_Neg_sum,1.472173148142437
sac_length_AOI_aggregated_Pos_max,1.3873207308586237
fix_duration_AOI_FD_Pos1_sum,1.3191424308126833
sac_length_AOI_aggregated_None_sum,1.0452213762150828
sac_length_AOI_aggregated_Pos_count,1.0003381720353082
sac_speed_AOI_aggregated_Neg_median,0.9456236465977454
sac_length_AOI_aggregated_Pos_min,0.860507085564744
fix_duration_AOI_FD_Neg1_median,0.7504466177198247
fix_duration_AOI_aggregated_Neg_mean,0.7471570529964752
sac_length_AOI_aggregated_None_count,0.6448129951032328
sac_speed_AOI_aggregated_Pos_min,0.48302243583301496
fix_duration_AOI_aggregated_None_count,0.4753564558618155
sac_length_AOI_aggregated_Pos_median,0.4660548818030242
sac_length_AOI_aggregated_Neg_mean,0.45035238838573344
sac_speed_from_Pos_to_Target_from_Pos_to_Target_median,0.42506805462818126
fix_duration_AOI_FD_Pos1_first,0.3972463490931146
fix_duration_AOI_FD_Neg1_min,0.38074820644785456
fix_duration_min,0.3598574844754426
sac_speed_from_Neg_to_Target_from_Neg_to_Target_median,0.3065286436663355
sac_length_from_Neg_to_Target_from_Neg_to_Target_sum,0.29941486478989765
sac_speed_from_Neg_to_Target_from_Neg_to_Target_max,0.28929240561216985
fix_duration_AOI_FD_Neg1_sum,0.27369494009767126
sac_speed_from_Pos_to_Target_from_Pos_to_Target_min,0.27119621874627164
sac_speed_from_Neg_to_Target_from_Neg_to_Target_min,0.25448296169788054
fix_duration_AOI_aggregated_Pos_max,0.23749433295054329
sac_length_from_Neg_to_Target_from_Neg_to_Target_count,0.23736099145060638
fix_duration_AOI_aggregated_None_kurtosis,0.23442461369683934
fix_duration_AOI_FD_None_count,0.23430637143454122
sac_length_AOI_aggregated_Neg_min,0.2338647086150334
sac_length_from_Pos_to_Target_from_Pos_to_Target_max,0.22613826908904744
sac_length_from_Pos_to_Target_from_Pos_to_Target_median,0.2244790830743648
fix_duration_AOI_aggregated_Pos_median,0.22135572987772434
sac_length_mean,0.18938580760017043
fix_duration_AOI_FD_Pos1_mean,0.1831449947499642
sac_length_from_Pos_to_Target_from_Pos_to_Target_min,0.18138803253696256
fix_duration_median,0.17907750320974325
fix_duration_AOI_FD_Pos1_min,0.1765510376787511
fix_duration_AOI_aggregated_Neg_std,0.17039027659054523
fix_duration_AOI_FD_None_sum,0.1639146038313606
lam_euclidean_length_3_rho_500,0.14161266137769635
sac_length_from_Pos_to_Target_from_Pos_to_Target_mean,0.13331152724700704
sac_speed_min,0.13180759417633403
lam_euclidean_length_2_rho_250,0.11695375271437244
fix_duration_AOI_aggregated_None_sum,0.11459576378324754
lam_euclidean_length_1_rho_250,0.11264342078001123
fractal_dim_m_3_tau_1,0.10982097441265233
sample_entropy_m=4_r=400,0.10839224578898463
lam_euclidean_length_1_rho_50,0.10777772419002611
corr_dim_m_4_tau_1_r_400,0.10717265487683621
corm_euclidean_length_1_rho_5,0.1058528650106565
sac_speed_max,0.09844243860219332
reg_length_min,0.09678252832182356
sac_length_from_Neg_to_Target_from_Neg_to_Target_median,0.09567387275693164
corr_dim_m_3_tau_2_r_50,0.09384949735207478
imf0_entropy,0.09088121545592266
sample_entropy_m=2_r=800,0.09029211851664892
phase_entropy_m_3_tau_2,0.09022788300383122
fix_duration_max,0.09017888798270557
phase_entropy_m_4_tau_2,0.08990872304605668
lam_euclidean_length_2_rho_25,0.08878827331577778
sac_length_from_Neg_to_Target_from_Neg_to_Target_min,0.08489920467993277
sac_speed_median,0.08366359967533941
corm_euclidean_length_1_rho_50,0.07987160872026276
corr_dim_m_2_tau_2_r_200,0.07965928946519304
incremental_entropy,0.07590192438511513
fractal_dim_m_4_tau_2,0.07509096874362195
sac_length_from_Pos_to_Target_from_Pos_to_Target_sum,0.07368111959375677
det_euclidean_length_3_rho_500,0.0724693696482615
det_euclidean_length_2_rho_50,0.06958970855246212
hurst_exponent.1,0.06940356285605855
fix_duration_AOI_aggregated_None_skew,0.06706380869057342
sac_length_from_Target_to_Neg_from_Target_to_Neg_median,0.06652011106793357
corr_dim_m_3_tau_2_r_400,0.06560241775755009
fix_duration_AOI_FD_Pos1_median,0.0654146415307406
fix_duration_AOI_FD_Neg1_std,0.06540525155724095
fix_duration_AOI_aggregated_Target_first,0.06494348048050762
sac_length_from_Target_to_Pos_from_Target_to_Pos_mean,0.06457539587309015
det_euclidean_length_1_rho_50,0.06356568118756617
hurst_exponent.2,0.06321360934920069
corr_dim_m_3_tau_1_r_200,0.06275186679911436
fractal_dim_m_2_tau_1,0.06249678752492576
sac_speed_from_Target_to_Neg_from_Target_to_Neg_mean,0.06171305818532496
hurst_exponent.6,0.06037843543657764
lyapunov_exponent_m_3_tau_1_T_4,0.0602599037331346
det_euclidean_length_2_rho_25,0.05966096307834369
sac_length_AOI_aggregated_None_max,0.0579997515400229
sample_entropy_m=3_r=800,0.05552569910508858
rec_metric_euclidean_length_3_rho_5,0.05132788040088098
lam_euclidean_length_3_rho_250,0.050976802462640566
lyapunov_exponent_m_2_tau_1_T_4,0.050972674659776784
rec_metric_euclidean_length_2_rho_5,0.050350270429666145
fuzzy_m_2_r_200,0.04980744159288689
reg_length_std,0.049365487489890336
corr_dim_m_4_tau_1_r_200,0.04920763975224432
reg_speed_min,0.04772317757079337
sac_length_sum,0.04733600178694309
reg_length_median,0.045393145104628746
imf0_kurtosis,0.045183623462367824
sac_speed_AOI_aggregated_None_std,0.04433535047979254
sac_speed_from_Target_to_Pos_from_Target_to_Pos_max,0.043555203155292814
sac_angle_between_mean,0.04222218192286967
