feature,importance
fix_duration_AOI_FD_Neg1_max,0.067161195
sac_speed_AOI_aggregated_Pos_mean,0.05519281
sac_length_AOI_aggregated_Neg_min,0.043612584
fix_duration_AOI_aggregated_Pos_min,0.03485439
fix_duration_AOI_FD_Neg1_count,0.02901655
sac_speed_AOI_aggregated_Pos_median,0.021590332
sac_length_AOI_aggregated_Pos_max,0.02100426
sac_length_AOI_aggregated_Pos_median,0.020602476
sac_speed_AOI_aggregated_Pos_max,0.019715449
sac_length_AOI_aggregated_Pos_min,0.01799816
fix_duration_AOI_aggregated_Pos_max,0.014263904
sac_length_AOI_aggregated_Neg_max,0.013584025
fix_duration_AOI_FD_Neg1_min,0.013404134
sac_speed_AOI_aggregated_Pos_min,0.0112057235
sac_speed_AOI_aggregated_Neg_mean,0.009861553
sac_length_AOI_aggregated_None_count,0.00958919
lam_euclidean_length_2_rho_250,0.009025252
sac_length_AOI_aggregated_Neg_sum,0.008862444
fix_duration_AOI_FD_Neg1_mean,0.008326414
fix_duration_AOI_FD_None_kurtosis,0.007855449
det_euclidean_length_1_rho_5,0.0066634812
fix_duration_AOI_FD_Pos1_std,0.0063538007
fix_duration_AOI_FD_Neg1_first,0.006236568
sac_speed_AOI_aggregated_Neg_min,0.006185514
sac_length_AOI_aggregated_None_sum,0.006102028
sac_length_from_Pos_to_Target_from_Pos_to_Target_max,0.0060847453
sac_speed_from_Pos_to_Target_from_Pos_to_Target_max,0.005979238
corr_dim_m_2_tau_1_r_400,0.005918032
sample_entropy_m=3_r=400,0.0057346784
fix_duration_AOI_aggregated_Neg_mean,0.0055596116
fix_duration_AOI_FD_None_count,0.005500147
sac_length_from_Pos_to_Target_from_Pos_to_Target_min,0.005499149
reg_length_min,0.0054685804
sac_length_from_Neg_to_Target_from_Neg_to_Target_count,0.0051947418
sac_speed_from_Neg_to_Target_from_Neg_to_Target_max,0.0049878983
fix_duration_AOI_aggregated_Pos_mean,0.004932326
lam_euclidean_length_1_rho_25,0.004796182
corr_dim_m_3_tau_1_r_400,0.0046429983
sac_length_from_Target_to_Neg_from_Target_to_Neg_min,0.004516251
sac_length_min,0.004441623
fuzzy_m_2_r_400,0.004424343
fix_duration_sum,0.0043840315
fix_duration_median,0.004331059
sac_length_from_Neg_to_Target_from_Neg_to_Target_min,0.0043183044
sac_length_from_Pos_to_Target_from_Pos_to_Target_mean,0.004293481
sac_length_AOI_aggregated_Neg_median,0.0042677056
sac_length_from_Neg_to_Target_from_Neg_to_Target_sum,0.004244036
corr_dim_m_2_tau_1_r_50,0.004161696
lyapunov_exponent_m_2_tau_1_T_1,0.004155393
sample_entropy_m=2_r=400,0.00412151
sac_length_sum,0.0041202023
fix_duration_AOI_aggregated_Neg_sum,0.004115402
lam_euclidean_length_3_rho_250,0.0039444063
fractal_dim_m_2_tau_1,0.003928532
corr_dim_m_2_tau_2_r_400,0.0039172256
fix_duration_mean,0.0038920308
fractal_dim_m_3_tau_1,0.003846743
corr_dim_m_4_tau_2_r_50,0.003776842
phase_entropy_m_4_tau_2,0.0036880565
rec_metric_euclidean_length_1_rho_500,0.0036072123
reg_length_max,0.0035320278
fix_duration_AOI_FD_Neg1_median,0.0035281188
fix_duration_AOI_FD_Target_mean,0.003461003
rec_metric_euclidean_length_1_rho_5,0.0033912493
fix_duration_AOI_FD_None_sum,0.0033363414
phase_entropy_m_2_tau_2,0.0033065144
sac_length_from_Pos_to_Target_from_Pos_to_Target_sum,0.0032967904
fuzzy_m_3_r_400,0.0032868122
corr_dim_m_2_tau_2_r_200,0.0032834434
sac_speed_from_Neg_to_Target_from_Neg_to_Target_median,0.0032491975
sac_speed_from_Neg_to_Target_from_Neg_to_Target_min,0.003217693
sac_speed_mean,0.0032102782
fractal_dim_m_2_tau_2,0.0031827032
sac_length_median,0.0031722663
sac_speed_median,0.0031326367
sac_length_skew,0.0031197488
fix_duration_min,0.0031135445
phase_entropy_m_3_tau_2,0.0031097264
imf0_std,0.0030517546
fix_duration_AOI_aggregated_Neg_max,0.0030405754
phase_entropy_m_2_tau_1,0.003029675
rec_metric_euclidean_length_1_rho_250,0.0030163184
sac_angle_to_x_mean,0.0029948277
corr_dim_m_4_tau_1_r_400,0.0029525443
fix_duration_AOI_aggregated_Neg_skew,0.0029386412
sac_length_from_Neg_to_Target_from_Neg_to_Target_max,0.0029357239
sac_speed_from_Neg_to_Target_from_Neg_to_Target_mean,0.0029292065
imf0_mean,0.0029174143
sac_speed_AOI_aggregated_Pos_std,0.0028956342
fix_duration_AOI_aggregated_None_first,0.0028762897
gridded_entropy_grid_size_4,0.0028330686
fix_duration_AOI_FD_Pos1_median,0.0027887672
sac_speed_AOI_aggregated_Neg_max,0.0027831814
lam_euclidean_length_3_rho_500,0.0027743564
sac_speed_min,0.0027591186
sac_length_AOI_aggregated_Neg_std,0.0027408274
gridded_entropy_grid_size_2,0.0027224228
fix_duration_AOI_FD_Target_min,0.0027221811
corr_dim_m_4_tau_2_r_200,0.0027105669
fix_duration_AOI_FD_Neg1_std,0.0027050364
lyapunov_exponent_m_4_tau_2_T_4,0.002691311
sac_length_from_Neg_to_Target_from_Neg_to_Target_mean,0.0026896386
det_euclidean_length_2_rho_50,0.0026894358
lyapunov_exponent_m_3_tau_2_T_4,0.0026881008
fix_duration_AOI_FD_Neg2_sum,0.0026681272
fix_duration_std,0.0026675966
sac_length_from_Target_to_Pos_from_Target_to_Pos_sum,0.0026096182
sac_angle_between_skew,0.0025788336
fix_duration_AOI_aggregated_Neg_median,0.0025662
reg_length_skew,0.0025660382
sample_entropy_m=2_r=100,0.002515468
reg_mask_mean,0.0025120238
phase_entropy_m_4_tau_1,0.002504939
fix_duration_AOI_FD_Target_sum,0.002503157
sac_speed_AOI_aggregated_None_std,0.002495634
sample_entropy_m=2_r=800,0.0024578178
